patient,gene,Primary,Recurrent,delta_log2_abundance,n_pairs_gene,n_recurrence_up_gene,logFC,ci_low,ci_high,P.Value,adj.P.Val,significant,y_base,y_jitter
KNCC_GBM0037,P2RY13,-0.3976841547937537,-0.0713110827301794,0.3263730720635743,60,28,-0.136313893562712,-0.32090493354357,0.0482771464181472,0.152838999613451,0.219087941702453,False,0.0,-0.19699572614659613
KNCC_GBM0037,RHOB,-0.7689871355824176,0.6179776821667319,1.3869648177491496,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,10.02700096245887
KNCC_GBM0037,SIGLEC8,0.6923365254630626,-0.305619280684916,-0.9979558061479785,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,4.011493963721181
KNCC_GBM0037,USP53,0.1327556646390071,-0.0910186366869268,-0.2237743013259339,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.9555912373252955
KNCC_GBM0038,CTTNBP2,-0.2258170997994482,0.1680335929052531,0.3938506927047013,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.888539085941914
KNCC_GBM0038,FOLR2,0.0119139548430649,0.2255118618672433,0.2135979070241784,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,9.002406714739589
KNCC_GBM0038,GSTM3,-0.0310914974402856,0.4496672817803068,0.4807587792205924,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,7.939145648802481
KNCC_GBM0038,ITM2C,-0.1287012826240551,0.1137112248449508,0.24241250746900592,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.112317825968549
KNCC_GBM0038,JUN,-0.3393358316575,-0.3968497490395268,-0.057513917382026825,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.9961199107468612
KNCC_GBM0038,P2RY12,-1.3334436226505877,-0.3915985707482831,0.9418450519023046,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,1.1294773437101189
KNCC_GBM0038,P2RY13,1.3683728275678373,-0.1552809061747605,-1.5236537337425977,60,28,-0.136313893562712,-0.32090493354357,0.0482771464181472,0.152838999613451,0.219087941702453,False,0.0,-0.09287452889780329
KNCC_GBM0038,RHOB,-0.8117672180897298,0.7493383261507234,1.5611055442404531,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,10.096144192714608
KNCC_GBM0038,SIGLEC8,0.0121285069191283,-0.0925031530766275,-0.1046316599957558,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,3.90745216512767
KNCC_GBM0038,USP53,0.2465124053170947,-0.3039294267146375,-0.5504418320317322,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.8417450437100478
KNCC_GBM0039,CTTNBP2,-0.140590011418221,-0.3146195896743891,-0.17402957825616808,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,5.869256094786673
KNCC_GBM0039,FOLR2,-0.4224295871074003,-0.7880180848441576,-0.3655884977367573,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,8.819839664840844
KNCC_GBM0039,GSTM3,0.3339135001319723,0.5670086991361147,0.23309519900414244,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.147335051737914
KNCC_GBM0039,ITM2C,-0.3430856115326569,-0.5682864599967867,-0.22520084846412985,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.085506886780525
KNCC_GBM0039,JUN,-0.6944256966042615,0.1000505326972478,0.7944762293015093,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,2.869979734733781
KNCC_GBM0039,P2RY12,0.0143154491208976,-1.967376488458568,-1.9816919375794657,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,1.1322361418827005
KNCC_GBM0039,P2RY13,-0.0138886974724214,-0.3622088439139514,-0.34832014644153003,60,28,-0.136313893562712,-0.32090493354357,0.0482771464181472,0.152838999613451,0.219087941702453,False,0.0,-0.0059611518874972185
KNCC_GBM0039,RHOB,0.1385742521402475,-1.2407951848650305,-1.379369437005278,105,85,0.544184615132506,0.382677590460858,0.705691639804155,1.60091382160134e-09,7.24893778421086e-08,True,10.0,9.86032315780218
KNCC_GBM0039,SIGLEC8,0.344754016078958,-0.783650713285104,-1.128404729364062,95,56,0.0645300164947364,-0.0844851012066222,0.213545134196095,0.3981053899374,0.488303501364327,False,4.0,3.9737640181808325
KNCC_GBM0039,USP53,0.3076567811447878,0.0521636957985521,-0.25549308534623566,67,33,-0.0302276534309614,-0.167993267535646,0.107537960673723,0.668502165284492,0.735631817927525,False,2.0,1.977784949580317
KNCC_GBM0040,CTTNBP2,0.428716798724321,0.1546666365200162,-0.2740501622043048,105,55,0.0980737727751807,0.0192089774448986,0.176938568105463,0.0164435201061068,0.0316135610735613,True,6.0,6.049211891359515
KNCC_GBM0040,FOLR2,0.3512870241145761,0.4850461081999589,0.13375908408538284,105,72,0.341343862250829,0.201974157809506,0.480713566692153,5.17621424969388e-06,2.84855349083786e-05,True,9.0,8.892660188698583
KNCC_GBM0040,GSTM3,0.1442157707201676,0.1829349446175677,0.038719173897400094,105,76,0.314897010331394,0.191808573087579,0.437985447575209,2.12806536159747e-06,1.3749828706212e-05,True,8.0,8.041696174546258
KNCC_GBM0040,ITM2C,0.2529935391321731,0.3742726002702347,0.12127906113806158,105,70,0.0707609661605836,-0.0160664610549186,0.157588393376086,0.113147359514004,0.170051528106548,False,5.0,5.1572694975907645
KNCC_GBM0040,JUN,-0.2259257526901521,-0.4121981562492317,-0.18627240355907956,86,40,-0.0097438498425401,-0.159843841263901,0.14035614157882,0.899045385927025,0.923604117314994,False,3.0,3.0555124733736343
KNCC_GBM0040,P2RY12,0.3730944463697075,0.4549596074424475,0.08186516107274,105,48,-0.0323824374915865,-0.188377382110929,0.123612507127756,0.684917874207751,0.749380240730217,False,1.0,0.834083074740847
